tipo;descripcion;expediente;anio_expediente;domicilio;barrio;comuna;unidad_ejecutora;fecha_inicio;area;obra;estado_obra;contratista;foto_nombre;foto_descripcion
AGR;La presente licitación trata la recuperación del Camino de Sirga, calzada de articulado, espacios verdes,forestación y puesta en valor de la margen izquierda del Riachuelo, en la Ciudad Autónoma de BuenosAires. (CABA)Se ha elaborado un proyecto que contempla la limpieza y la ejecución de la obra ubicada sobre el predio lindero al Riachuelo, comprendiendo la ejecución de una calle de servicio y el diseño del paisaje. La calle se encuentra retirada entre 25 y 35 metros del límite de la línea de la ribera, haciendo de borde del tejido urbano y conteniéndolo a su vez. El camino se ejecutará en granitullo. Se trata de una propuesta modular para brindar una flexibilidad en la ejecución de la obra. El diseño del paisaje se desarrolla en forma lineal, distintas unidades de plantación que ofrecen un paisaje rico en matices, floración, coloración otoñal, texturas, porte, forma y al mismo tiempo tengan rapidez de crecimiento.;1630472;2012;;;;312;2013-08-01 00:00:00;Area Gestion de la Ribera;Camino de Sirga Etapa II;Acta de Inicio;Bricons SAICFI;;
AGR;Complejo de Parques compuesto por la Plaza de la Memoria y la Plaza de la Concordia y los Parques de la Memoria y Natural que se desarrolla sobre 36 hectáreas sitas entre Avenida Costanera Rafael Obligado, el Río de la Plata y los edificios de Ciudad Universitaria.;5813;2003;Avda Costanera y R. Obligado e Int Guiraldes;Nuñez;13;8742;2007-07-13 00:00:00;Area Gestion de la Ribera;Parque Público Ciudad Universitaria ;Finalizada en mantenimiento;Bricons SAICFI;;
ARQ;ALVAR NUÑEZ E IRALA La esquina de la calle Irala y Alvar Núñez es un punto de atracción muy llamativo, pues por ser la concurrencia de cinco calles crea una amplia situación espacial, casi única, dentro de la trama urbana. El proyecto fue pensado para estimular el uso de un lugar que hoy carece de cualquier función más que la de un simple paso. Sus dimensiones tanto como sus delimitaciones demandan un conjunto de operaciones distintas a las habituales. Además, la superficie de esta esquina se encuentra contigua a una escuela, por tanto debía ser un espacio flexible, capaz de dar respuesta a diversas situaciones. Se tuvo en cuenta tanto el juego de transiciones entre materialidad artificial y naturalidad incrementada, las escenas y los elementos construidos convergen temporalmente.  CALLE ARNALDO DESPOSITO El espacio remanente entre las vías del Ferrocarril y la medianera lindera, con frente sobre la calle Arnaldo Desposito, brinda una posibilidad excelente para el desarrollo de este proyecto dentro de la trama urbana. El mismo fue pensado para estimular el uso del lugar generando áreas de descanso con bancos de diferentes tipos, juegos para niños, lomada de tierra para escalar, y un espacio para canes. Se trabajó sobre el agrandamiento de la vereda, la elevación y puesta en valor de la medianera existente y el proyecto contempla la profusión de rampas para discapacitados y personas de la tercera edad para salvar los diferentes niveles y que todos puedan acceder a las distintas áreas. Además se ha equipado luminicamente el área y se ha parquizado la zona con especies arbóreas, césped y plantas. Se tuvo en cuenta tanto el juego de transiciones entre materialidad artificial y naturalidad incrementada, las escenas y los elementos construidos convergen temporalmente;27404;2008;ALVAR NUÑEZ  E IRALA, Y ARNALDO DESPOSITO;La Boca;4;312;2009-01-01 00:00:00;Arquitectura;Alvar Nuñez e Irala, Desposito;Finalizada recepción definitiva;CARAMIAN SA;;
ARQ;Equipamiento y mejora. Provision y colocacion de bancos, corrimiento de cabinas telefonicas y carteles de publicidad existentes en la via publica. El modelo elegido (Banco Patrimonial de Buenos Aires), que es creado especialmente para esta Avenida por el Estudio Diana Cabezas se presenta en dos modelos, con y sin respaldo;24946;2009;Av. de Mayo entre Saenz Peña y Bolivar ;Monserrat;1;312;2008-10-08 00:00:00;Arquitectura;AV DE MAYO;Finalizada recepción definitiva;ALTOTE SA;;
ARQ;Puesta en valor Avda Alte  Brown, entre Martín García y Pedro de Mendoza. Intervención sobre accesos viales del barrio, mejoramiento del espacio público de Benito P. Galdós entre P.de Mendoza y Alte Brown. Revalorizar espacio público de la avenida y el acceso al énclave turístico de la Vuelta de Rocha, mediante, la creación de un bulevard central con verde, renovación de veredas y mobiliario urbano. Mejora de accesibilidad al Htal. Argerich, con tratamiento de veredas circundantes, con nuevo solado, igualando distintos niveles que hoy se presentan, y manteniendo los accesos elevados a las parcelas que los poseen. Readecuación tamaños de las cazoletas a los árboles existentes. Materialización  de  un bulevard central parquizado, con iluminación  y equipamiento urbano. ;89703;2006;AV. ALMIRANTE BROWN Y AV. BENITO PEREZ GALDOS;La Boca;4;312;2008-10-14 00:00:00;Arquitectura;Av. Almirante Brown y Av. Benito Pérez Galdos;Finalizada recepción definitiva;CUNUMÍ SA;;
ARQ;Se trata de la puesta en valor del Boulevard Honorio Pueyrredon entre Batalla del Pari y Neuquén que consiste en  la repavimentación integral mediante fresado y recapado de la superficie,  la ejecución de vados para personas con capacidades diferentes, la ejecución del Boulevard Central y las Isletas . ;15678;2008;Av. Honorio Pueyrredón entre Neuquén y Batalla de Parí;Caballito - Villa Crespo;6;312;2008-12-03 00:00:00;Arquitectura;Av. Honorio Pueyrredón entre Batalla de Pari y Neuquén;Finalizada recepción definitiva;EQUIMAC SA;;
ARQ;Balcarce entre Av Belgrano y Av Independencia El proyecto consiste en el acondicionamiento de sus veredas y calles asi como de su alumbrado y desagues pluviales Atento al deterioro sufrido por el pavimento el deterioro de veredas por distintas causas la dificultad de cruce peatonal en diferentes esquinas y falta de equipamiento se decide intervenir el area para su revitalizacion y ordenamiento;35180;2008;Balcarce entre Av. Belgrano  e Independencia;San Telmo;1;312;2009-01-01 00:00:00;Arquitectura;Balcarce ;Finalizada recepción definitiva;GRAPE Constructora SA;;
ARQ;Se propone la interrelación de edificios y parquización a través de una intensa forestación y senderos en sectores determinados. Se ubican programas de uso del área recreativa tales como patios de juego para niños y bicisenda, patios de la tercera edad y un sector deportivo con canchas. Se realiza la apertura de la calle Oliden y una calle interna del conjunto.;52801;2007;Fernandez de la Cruz, Cafayate, Larrazabal y Santiago Costamagna.;Villa Lugano;8;312;2008-12-05 00:00:00;Arquitectura;Barrio General Savio Etapa 1;Finalizada en mantenimiento;CUNUMÍ SA;CIMG2923.jpg;Apertura de Calle oliden. Abierta al transito. 
ARQ;Se trata de un conjunto habitacional de 60 ha de extensión, con una población aproximada de 70.000 habitantes, con una caracterización muy recurrente de los años 60 consistente en la alta concentración de las unidades de viviendas en altura y la drástica zonificación de usos separados. En este sentido, la mitad de la superficie total del predio quedó destinada al desarrollo de espacios de esparcimiento y recreación, sin más equipamiento que grandes extensiones de césped y algunos antiguos juegos para niños desperdigados en el verde. Así, el paisaje urbano resultante es conformado únicamente por el enfrentamiento de fachadas largas y monótonas, con alguna escasa forestación.;1699375;2012;;;;312;2013-02-18 00:00:00;Arquitectura;Barrio General Savio Etapa II;Acta de Inicio;MIAVASA SA ;;
ARQ;La realizacion de este oasis urbano ubicado en el barrio de Barracas tiene como principal objetivo reacomodar sus funciones en base a las necesidades que fueron surgiendo en el lugar. Generar espacios con equipamientos adecuados a los nuevos usos, encuentros vecinales, ferias, exposiciones temporales, etc., cuidando también el concepto lineal de recorrido que proporciona el lugar. Se unificarán bulevares agregando espacios verdes, sumando sectores de descanso y de reunión.;27406;2008;Boulevard Iriarte entre Vieytes y San Antonio, entre Goncalves y Sta. Magdalena y San Antonio y Goncalves Dias;Barracas;4;312;2008-11-10 00:00:00;Arquitectura;Boulevard Iriarte ;Finalizada recepción definitiva;Giro Construcciones SA;;
